FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY
1357,13487,MSP,11433,DTW,1752,0,2035,2
1410,14747,SEA,10397,ATL,1345,0,2132,4
1448,10397,ATL,11433,DTW,1903,-2,2057,-6
1267,10397,ATL,11433,DTW,1834,59,2011,37
1403,10397,ATL,14747,SEA,1354,4,1608,-17
1476,11433,DTW,13487,MSP,1346,-4,1427,-22
929,11433,DTW,10397,ATL,1622,-5,1824,-16
984,10397,ATL,12478,JFK,2050,0,2256,-18
1096,11433,DTW,13487,MSP,1152,-8,1238,-24
1122,13487,MSP,10397,ATL,722,-7,1051,-13
1195,11433,DTW,12478,JFK,1959,-1,2146,-13
1291,14747,SEA,10397,ATL,833,3,1616,2
1461,11433,DTW,14747,SEA,1212,-3,1346,-44
1598,14747,SEA,10397,ATL,614,-6,1354,-10
1734,13487,MSP,11433,DTW,1146,-6,1423,-13
1795,10397,ATL,12478,JFK,1743,-2,2009,-5
434,12478,JFK,10397,ATL,804,-1,1019,-24
514,10397,ATL,13487,MSP,1227,22,1355,1
589,13487,MSP,14747,SEA,907,-3,1056,-4
1650,11433,DTW,13487,MSP,704,-1,815,-9
1734,13487,MSP,11433,DTW,1149,-3,1417,-19
1795,10397,ATL,12478,JFK,1746,1,2008,-6
1893,11433,DTW,10397,ATL,842,7,1049,0
2016,12478,JFK,10397,ATL,1932,2,2147,-24
1975,13487,MSP,10397,ATL,1125,0,1455,-3
2074,10397,ATL,13487,MSP,1736,1,1910,-14
2221,13487,MSP,14747,SEA,1125,-5,1257,-25
2287,10397,ATL,13487,MSP,2244,29,3,6
2382,10397,ATL,13487,MSP,1914,-1,2036,-32
2448,11433,DTW,10397,ATL,1201,-4,1349,-26
2793,11433,DTW,13487,MSP,957,-4,1045,-22
7,10397,ATL,13487,MSP,1043,-3,1207,-23
86,13487,MSP,11433,DTW,1339,-9,1615,-17
423,12478,JFK,10397,ATL,1335,10,1604,4
2448,11433,DTW,10397,ATL,1204,-4,1356,-24
485,12478,JFK,14747,SEA,1645,-5,1920,-58
588,14747,SEA,13487,MSP,1108,3,1626,-1
744,13487,MSP,10397,ATL,1002,-3,1323,-11
789,14747,SEA,13487,MSP,1314,-1,1835,-2
844,10397,ATL,13487,MSP,1044,-2,1206,-24
929,11433,DTW,10397,ATL,1623,-4,1821,-19
984,10397,ATL,12478,JFK,2049,-1,2248,-27
1096,11433,DTW,13487,MSP,1200,0,1245,-18
1145,10397,ATL,11433,DTW,1622,2,1804,-20
1593,14747,SEA,10397,ATL,2313,-3,654,1
1707,11433,DTW,13487,MSP,830,-4,915,-30
1770,14747,SEA,13487,MSP,1529,-1,2047,-1
1840,13487,MSP,11433,DTW,1803,4,2051,7
1975,13487,MSP,10397,ATL,1125,0,1455,-3
2074,10397,ATL,13487,MSP,1756,21,1933,9
2221,13487,MSP,14747,SEA,1126,-4,1254,-28
2287,10397,ATL,13487,MSP,2210,-5,2332,-25
2382,10397,ATL,13487,MSP,1916,1,2036,-32
1231,10397,ATL,11433,DTW,1339,-2,1535,-7
744,13487,MSP,10397,ATL,1010,5,1349,15
789,14747,SEA,13487,MSP,1310,-5,1850,13
844,10397,ATL,13487,MSP,1045,-1,1213,-17
945,11433,DTW,10397,ATL,1337,-8,1530,-28
987,14747,SEA,11433,DTW,2254,-6,621,6
1107,10397,ATL,14747,SEA,1926,6,2117,-48
1145,10397,ATL,11433,DTW,1631,11,1813,-11
1231,10397,ATL,11433,DTW,1345,4,1538,-4
1397,13487,MSP,14747,SEA,1410,-5,1546,-17
1473,14747,SEA,12478,JFK,1110,0,1944,14
2188,10397,ATL,14747,SEA,1631,1,1837,-36
2263,10397,ATL,11433,DTW,1057,3,1247,-6
2312,13487,MSP,12478,JFK,1751,-4,2150,1
2413,14747,SEA,12478,JFK,702,2,1529,14
2448,11433,DTW,10397,ATL,1157,-8,1410,-8
2610,10397,ATL,13487,MSP,729,-1,846,-28
2817,12478,JFK,11433,DTW,858,-3,1057,-18
2794,11433,DTW,10397,ATL,718,-2,938,-7
8,13487,MSP,10397,ATL,1735,3,2133,28
281,11433,DTW,14747,SEA,833,-7,1013,-47
440,12478,JFK,10397,ATL,814,-2,1041,-10
514,10397,ATL,13487,MSP,1244,39,1400,6
589,13487,MSP,14747,SEA,907,-3,1102,2
744,13487,MSP,10397,ATL,1023,18,1346,12
784,10397,ATL,13487,MSP,854,-1,1009,-31
840,13487,MSP,11433,DTW,1948,-3,2236,2
945,11433,DTW,10397,ATL,1430,45,1626,31
987,14747,SEA,11433,DTW,2255,-5,559,-16
1107,10397,ATL,14747,SEA,1932,12,2142,-23
1145,10397,ATL,11433,DTW,1620,0,1802,-22
866,10397,ATL,13487,MSP,1346,-4,1510,-28
976,10397,ATL,12478,JFK,955,-5,1154,-17
1094,10397,ATL,13487,MSP,1454,-1,1619,-26
1122,13487,MSP,10397,ATL,721,-4,1050,-7
1290,10397,ATL,11433,DTW,2210,0,5,2
1419,14747,SEA,13487,MSP,642,-3,1205,4
1598,14747,SEA,10397,ATL,620,0,1404,3
1397,13487,MSP,14747,SEA,1413,-2,1545,-18
1473,14747,SEA,12478,JFK,1110,0,1950,20
1598,14747,SEA,10397,ATL,620,0,1416,15
1734,13487,MSP,11433,DTW,1149,-3,1443,7
1815,13487,MSP,10397,ATL,901,-4,1229,-5
1961,13487,MSP,10397,ATL,1938,-1,2305,-3
2039,10397,ATL,14747,SEA,831,0,1054,-15
2139,12478,JFK,10397,ATL,819,-1,1040,-12
2263,10397,ATL,11433,DTW,1050,-4,1242,-7
2382,10397,ATL,13487,MSP,1956,26,2118,-2
2448,11433,DTW,10397,ATL,1259,54,1506,50
2576,12478,JFK,11433,DTW,1844,-1,2045,-14
2834,13487,MSP,14747,SEA,659,-2,1151,
2839,11433,DTW,12478,JFK,1523,-4,1709,-15
86,13487,MSP,11433,DTW,,,,
87,11433,DTW,13487,MSP,1604,24,1703,14
423,12478,JFK,10397,ATL,1336,11,1607,7
440,12478,JFK,10397,ATL,609,-1,835,-14
485,12478,JFK,14747,SEA,1720,65,1955,10
557,13487,MSP,11433,DTW,620,-5,1500,
589,13487,MSP,14747,SEA,910,0,1031,-29
744,13487,MSP,10397,ATL,1005,0,1323,-11
789,14747,SEA,13487,MSP,1315,0,1837,0
8,13487,MSP,10397,ATL,1734,2,2109,6
87,11433,DTW,13487,MSP,1539,-1,1623,-23
423,12478,JFK,10397,ATL,1324,-1,1558,-2
435,12478,JFK,14747,SEA,834,54,1133,40
485,12478,JFK,14747,SEA,1632,17,1930,-10
629,10397,ATL,11433,DTW,917,2,1108,-1
784,10397,ATL,13487,MSP,835,0,1000,-18
1145,10397,ATL,11433,DTW,1620,0,1846,21
1231,10397,ATL,11433,DTW,1335,-6,1552,10
1397,13487,MSP,14747,SEA,1414,-1,1536,-27
1473,14747,SEA,12478,JFK,1109,-1,1945,15
1598,14747,SEA,10397,ATL,619,-1,1402,1
1734,13487,MSP,11433,DTW,1242,50,1521,45
1795,10397,ATL,12478,JFK,1929,104,2131,77
1893,11433,DTW,10397,ATL,1339,304,1615,326
1707,11433,DTW,13487,MSP,832,-2,917,-28
1770,14747,SEA,13487,MSP,1530,0,2050,2
1840,13487,MSP,11433,DTW,1800,1,2100,16
822,14747,SEA,11433,DTW,707,7,1423,8
875,10397,ATL,12478,JFK,1801,166,2020,151
945,11433,DTW,10397,ATL,1747,242,2019,261
987,14747,SEA,11433,DTW,2258,-2,609,-6
1096,11433,DTW,13487,MSP,,,,
1107,10397,ATL,14747,SEA,1929,9,2145,-20
780,13487,MSP,11433,DTW,1028,8,1302,-2
822,14747,SEA,11433,DTW,655,-5,1405,-10
866,10397,ATL,13487,MSP,1348,-2,1524,-16
929,11433,DTW,10397,ATL,1627,0,1825,-15
984,10397,ATL,12478,JFK,2049,-1,2243,-32
1094,10397,ATL,13487,MSP,1451,-4,1622,-23
1121,11433,DTW,10397,ATL,1958,-7,2227,8
1187,13487,MSP,14747,SEA,1812,33,2032,64
1290,10397,ATL,11433,DTW,2213,3,2352,-13
1419,14747,SEA,13487,MSP,641,-4,1151,-13
1542,14747,SEA,12478,JFK,2304,-1,654,-29
1651,11433,DTW,14747,SEA,2004,-4,2236,15
2794,11433,DTW,10397,ATL,718,-2,931,-14
7,10397,ATL,13487,MSP,1043,-3,1220,-10
86,13487,MSP,11433,DTW,1406,13,1636,-1
420,12478,JFK,14747,SEA,657,-3,1001,-19
426,12478,JFK,10397,ATL,819,-1,1048,-7
478,10397,ATL,12478,JFK,1201,-4,1411,-13
1782,11433,DTW,14747,SEA,1500,-5,1645,-24
1975,13487,MSP,10397,ATL,1131,6,1530,34
2039,10397,ATL,14747,SEA,830,-1,1037,-32
2205,12478,JFK,13487,MSP,1903,173,2056,140
2283,11433,DTW,10397,ATL,554,-6,746,-34
2350,11433,DTW,10397,ATL,2242,49,30,25
2424,14747,SEA,11433,DTW,1633,165,2334,150
2536,13487,MSP,14747,SEA,1939,6,2103,-22
2817,12478,JFK,11433,DTW,1300,231,1535,252
86,13487,MSP,11433,DTW,1407,-1,1652,4
420,12478,JFK,14747,SEA,659,-1,1001,-19
436,12478,JFK,13487,MSP,1259,90,1504,80
478,10397,ATL,12478,JFK,1211,6,1400,-24
557,13487,MSP,11433,DTW,635,0,905,-16
630,11433,DTW,10397,ATL,1758,18,2001,7
1403,10397,ATL,14747,SEA,1348,-2,1626,1
1476,11433,DTW,13487,MSP,1340,-5,1459,15
281,11433,DTW,14747,SEA,839,-1,1115,15
425,12478,JFK,10397,ATL,1635,3,1852,-29
478,10397,ATL,12478,JFK,1207,2,1418,-6
557,13487,MSP,11433,DTW,633,-2,914,-7
630,11433,DTW,10397,ATL,1736,-4,1943,-11
1651,11433,DTW,14747,SEA,2006,-2,2217,-4
1768,14747,SEA,13487,MSP,814,-1,1324,-12
1815,13487,MSP,10397,ATL,934,29,1242,8
1975,13487,MSP,10397,ATL,1125,0,1441,-17
2039,10397,ATL,14747,SEA,856,25,1116,7
1542,14747,SEA,12478,JFK,2315,10,710,-13
1651,11433,DTW,14747,SEA,2008,0,2232,11
1768,14747,SEA,13487,MSP,813,-2,1325,-12
1815,13487,MSP,10397,ATL,910,5,1226,-8
1961,13487,MSP,10397,ATL,1938,-1,2255,-11
2032,13487,MSP,12478,JFK,658,-2,1012,-37
2188,10397,ATL,14747,SEA,1630,0,1856,-16
2263,10397,ATL,11433,DTW,1058,4,1254,1
2312,13487,MSP,12478,JFK,1752,-3,2125,-24
2413,14747,SEA,12478,JFK,700,0,1451,-24
2508,14747,SEA,11433,DTW,938,-2,1636,-19
2793,11433,DTW,13487,MSP,1000,-1,1116,9
2817,12478,JFK,11433,DTW,901,-8,1114,-9
53,13487,MSP,11433,DTW,1526,-4,1801,-12
325,11433,DTW,10397,ATL,1508,14,1714,8
426,12478,JFK,10397,ATL,838,18,1103,8
485,12478,JFK,14747,SEA,1628,13,1920,-25
588,14747,SEA,13487,MSP,1110,5,1626,-1
652,10397,ATL,13487,MSP,2104,-1,2247,-10
784,10397,ATL,13487,MSP,843,8,1023,3
840,13487,MSP,11433,DTW,1947,-4,2230,-4
902,10397,ATL,11433,DTW,1512,16,1701,6
976,10397,ATL,12478,JFK,1001,1,1209,-4
780,13487,MSP,11433,DTW,1015,-5,1250,-14
822,14747,SEA,11433,DTW,658,-2,1356,-19
866,10397,ATL,13487,MSP,1349,-1,1509,-31
929,11433,DTW,10397,ATL,1623,-4,1822,-18
984,10397,ATL,12478,JFK,2056,6,2312,-3
1094,10397,ATL,13487,MSP,1907,252,2036,231
1121,11433,DTW,10397,ATL,2005,0,2154,-25
1187,13487,MSP,14747,SEA,1735,-4,1911,-17
1290,10397,ATL,11433,DTW,2205,-5,2357,-8
1419,14747,SEA,13487,MSP,643,-2,1201,-3
1121,11433,DTW,10397,ATL,2013,0,2217,-10
1187,13487,MSP,14747,SEA,1808,29,1951,23
1290,10397,ATL,11433,DTW,2212,2,1,-4
1419,14747,SEA,13487,MSP,650,5,1153,-11
1542,14747,SEA,12478,JFK,2301,-4,655,-28
1651,11433,DTW,14747,SEA,2040,32,2221,0
1782,11433,DTW,14747,SEA,1514,5,1651,-19
1852,10397,ATL,14747,SEA,1152,39,1400,9
427,12478,JFK,10397,ATL,806,1,1037,-3
445,12478,JFK,10397,ATL,1712,-3,1947,-15
528,10397,ATL,13487,MSP,1623,-2,1750,-24
630,11433,DTW,10397,ATL,1935,-10,2133,-24
822,14747,SEA,11433,DTW,709,9,1406,-9
888,13487,MSP,10397,ATL,1624,-5,1958,-1
991,10397,ATL,11433,DTW,1159,-1,1335,-26
1107,10397,ATL,14747,SEA,1924,4,2151,-10
1195,11433,DTW,12478,JFK,2000,0,2141,-16
1403,10397,ATL,14747,SEA,1417,27,1640,16
1593,14747,SEA,10397,ATL,2307,-7,623,-21
1707,11433,DTW,13487,MSP,838,4,925,-16
1815,13487,MSP,10397,ATL,1006,61,1315,43
1195,11433,DTW,12478,JFK,2008,8,2244,47
1397,13487,MSP,14747,SEA,1359,-6,1534,-18
1542,14747,SEA,12478,JFK,2302,-3,647,-34
1651,11433,DTW,14747,SEA,2032,17,2247,21
2005,10397,ATL,11433,DTW,730,5,919,-3
2134,14747,SEA,10397,ATL,1507,17,2236,4
2260,14747,SEA,10397,ATL,1053,-2,1822,-16
2309,12478,JFK,10397,ATL,1924,-6,2148,-23
2393,10397,ATL,11433,DTW,1919,4,2102,-14
2442,10397,ATL,12478,JFK,2009,34,2235,31
2536,13487,MSP,14747,SEA,2002,29,2139,14
2802,12478,JFK,13487,MSP,1128,-1,1322,-22
2842,13487,MSP,10397,ATL,1313,-2,1637,-12
86,13487,MSP,11433,DTW,1150,-2,1422,-12
325,11433,DTW,10397,ATL,1521,1,1719,-12
2312,13487,MSP,12478,JFK,1809,14,2149,2
2413,14747,SEA,12478,JFK,658,-2,1454,-21
2510,10397,ATL,11433,DTW,2053,0,2237,-12
8,13487,MSP,10397,ATL,1734,2,2039,-26
281,11433,DTW,14747,SEA,847,7,1040,-20
427,12478,JFK,10397,ATL,1715,0,1948,-15
456,12478,JFK,14747,SEA,700,0,1038,18
514,10397,ATL,13487,MSP,1414,129,1556,122
589,13487,MSP,14747,SEA,910,0,1056,-4
744,13487,MSP,10397,ATL,1010,5,1322,-12
789,14747,SEA,13487,MSP,1314,-1,1832,-5
1096,11433,DTW,13487,MSP,1208,-2,1251,-22
1991,13487,MSP,10397,ATL,521,-4,843,-10
2074,10397,ATL,13487,MSP,1735,0,1901,-21
2221,13487,MSP,14747,SEA,1346,-4,1534,-3
2350,10397,ATL,12478,JFK,810,0,1008,-17
2440,14747,SEA,13487,MSP,29,-6,531,-16
2536,13487,MSP,14747,SEA,2010,-5,2204,4
2842,13487,MSP,10397,ATL,1312,-3,1628,-18
87,11433,DTW,13487,MSP,1540,0,1623,-24
423,12478,JFK,10397,ATL,1325,0,1603,3
445,12478,JFK,10397,ATL,1715,0,2025,23
478,10397,ATL,12478,JFK,1216,11,1409,-12
588,14747,SEA,13487,MSP,1111,-1,1629,-3
744,13487,MSP,10397,ATL,1003,-2,1329,-4
822,14747,SEA,11433,DTW,657,-3,1408,-7
888,13487,MSP,10397,ATL,1628,-1,1939,-20
984,10397,ATL,12478,JFK,2204,-1,2359,-23
1096,11433,DTW,13487,MSP,1159,-1,1257,-3
1145,10397,ATL,11433,DTW,1645,10,1836,-3
1291,14747,SEA,10397,ATL,837,7,1559,-15
1461,11433,DTW,14747,SEA,1214,-1,1406,-24
1575,10397,ATL,12478,JFK,2213,8,20,-5
1651,11433,DTW,14747,SEA,2003,-5,2227,6
866,10397,ATL,13487,MSP,1348,-2,1527,-13
929,11433,DTW,10397,ATL,1707,40,1851,11
987,14747,SEA,11433,DTW,2304,4,610,-5
1096,11433,DTW,13487,MSP,1335,95,1410,67
1122,13487,MSP,10397,ATL,745,16,1054,-10
1195,11433,DTW,12478,JFK,2020,20,2151,-8
784,10397,ATL,13487,MSP,849,14,1025,5
840,13487,MSP,11433,DTW,1946,-5,2210,-24
888,13487,MSP,10397,ATL,1618,-7,1939,-17
946,11433,DTW,13487,MSP,1734,-1,1828,-15
991,10397,ATL,11433,DTW,1205,5,1404,0
1107,10397,ATL,14747,SEA,1921,1,2146,-19
1173,13487,MSP,11433,DTW,831,1,1059,-15
1267,10397,ATL,11433,DTW,1733,-2,1920,-14
1403,10397,ATL,14747,SEA,1354,4,1620,-5
1476,11433,DTW,13487,MSP,1341,-4,1426,-18
1650,11433,DTW,13487,MSP,1015,190,1119,175
2817,12478,JFK,11433,DTW,904,-5,1102,-21
53,13487,MSP,11433,DTW,1531,1,1813,-1
325,11433,DTW,10397,ATL,1504,10,1706,0
433,12478,JFK,10397,ATL,902,42,1124,29
460,12478,JFK,14747,SEA,1820,-5,2117,-34
514,10397,ATL,13487,MSP,1204,-1,1354,1
1734,13487,MSP,11433,DTW,1146,-4,1420,-11
1795,10397,ATL,12478,JFK,1740,-5,2019,7
1961,13487,MSP,10397,ATL,1937,-2,2246,-17
2054,12478,JFK,10397,ATL,2119,109,56,168
2188,10397,ATL,14747,SEA,1628,-2,1912,3
2074,10397,ATL,13487,MSP,1753,-1,1938,-5
2221,13487,MSP,14747,SEA,1148,18,1335,13
2287,10397,ATL,13487,MSP,2215,0,2357,0
2393,10397,ATL,11433,DTW,1915,0,2110,-7
2440,14747,SEA,13487,MSP,38,3,538,-12
2536,13487,MSP,14747,SEA,1933,0,2121,-4
2817,12478,JFK,11433,DTW,1002,53,1216,53
8,13487,MSP,10397,ATL,1730,-2,2046,-19
87,11433,DTW,13487,MSP,1535,-5,1628,-21
425,12478,JFK,10397,ATL,1502,1,1715,-35
438,12478,JFK,10397,ATL,658,48,932,42
485,12478,JFK,14747,SEA,1609,-6,1907,-38
588,14747,SEA,13487,MSP,1128,23,1643,16
1397,13487,MSP,14747,SEA,1425,10,1602,-1
1715,11433,DTW,10397,ATL,1011,-4,1159,-30
1782,11433,DTW,14747,SEA,1501,-4,1708,-2
1852,10397,ATL,14747,SEA,1140,27,1419,28
1991,13487,MSP,10397,ATL,528,3,853,-4
1715,11433,DTW,10397,ATL,1010,-5,1151,-38
1782,11433,DTW,14747,SEA,1503,-2,1651,-19
1852,10397,ATL,14747,SEA,1129,16,1353,2
2005,10397,ATL,11433,DTW,723,-2,911,-11
2134,14747,SEA,10397,ATL,1452,2,2214,-18
2260,14747,SEA,10397,ATL,1047,-8,1824,-14
2312,13487,MSP,12478,JFK,1748,-7,2118,-31
2394,12478,JFK,10397,ATL,1929,-1,2150,-21
2448,11433,DTW,10397,ATL,1204,-1,1353,-24
2260,14747,SEA,10397,ATL,1050,-5,1825,-13
2312,13487,MSP,12478,JFK,1755,0,2127,-22
2413,14747,SEA,12478,JFK,657,-3,1505,-10
1991,13487,MSP,10397,ATL,526,1,855,-2
2074,10397,ATL,13487,MSP,1801,7,1953,10
2221,13487,MSP,14747,SEA,1128,-2,1305,-17
2287,10397,ATL,13487,MSP,2215,0,2348,-9
2382,10397,ATL,13487,MSP,1929,14,2109,1
2440,14747,SEA,13487,MSP,30,-5,523,-27
2610,10397,ATL,13487,MSP,735,5,910,-4
2834,13487,MSP,14747,SEA,700,-1,838,-17
52,11433,DTW,13487,MSP,830,-4,913,-32
1055,11433,DTW,13487,MSP,1957,-1,2042,-20
1108,13487,MSP,10397,ATL,1514,14,1913,40
1173,13487,MSP,11433,DTW,829,-1,1059,-15
528,10397,ATL,13487,MSP,1639,14,1826,9
629,10397,ATL,11433,DTW,912,-3,1107,-3
783,13487,MSP,10397,ATL,630,10,948,0
838,11433,DTW,10397,ATL,1858,-2,2103,-11
875,10397,ATL,12478,JFK,1514,-1,1719,-28
945,11433,DTW,10397,ATL,1347,2,1534,-24
987,14747,SEA,11433,DTW,2313,13,617,2
1096,11433,DTW,13487,MSP,1218,8,1342,29
1145,10397,ATL,11433,DTW,1618,-2,1815,-9
1231,10397,ATL,11433,DTW,1408,27,1608,26
976,10397,ATL,12478,JFK,959,-1,1206,-7
1055,11433,DTW,13487,MSP,1958,0,2144,42
1108,13487,MSP,10397,ATL,1457,-3,1834,3
1173,13487,MSP,11433,DTW,829,-1,1053,-21
1267,10397,ATL,11433,DTW,1729,-6,1936,2
1403,10397,ATL,14747,SEA,1353,3,1620,-5
1476,11433,DTW,13487,MSP,1340,-5,1427,-17
1650,11433,DTW,13487,MSP,704,-1,819,-5
1768,14747,SEA,13487,MSP,811,-4,1336,0
1815,13487,MSP,10397,ATL,910,5,1236,2
8,13487,MSP,10397,ATL,1803,31,2145,40
1593,14747,SEA,10397,ATL,2320,4,659,6
1715,11433,DTW,10397,ATL,1012,-3,1233,4
1782,11433,DTW,14747,SEA,1459,-6,1651,-19
1852,10397,ATL,14747,SEA,1111,-2,1328,-23
2005,10397,ATL,11433,DTW,720,-5,906,-16
2134,14747,SEA,10397,ATL,1445,-5,2219,-13
1893,11433,DTW,10397,ATL,839,4,1036,-12
2005,10397,ATL,11433,DTW,723,-2,909,-13
2134,14747,SEA,10397,ATL,1449,-1,2242,10
2260,14747,SEA,10397,ATL,1112,17,1848,10
2312,13487,MSP,12478,JFK,1754,-1,2151,2
2394,12478,JFK,10397,ATL,1941,11,2237,26
2448,11433,DTW,10397,ATL,1204,-1,1417,0
2536,13487,MSP,14747,SEA,1931,-2,2140,15
2802,12478,JFK,13487,MSP,1122,-7,1318,-26
7,10397,ATL,13487,MSP,1044,-2,1209,-21
86,13487,MSP,11433,DTW,1526,93,1832,115
423,12478,JFK,10397,ATL,1322,-3,1546,-14
456,12478,JFK,14747,SEA,659,-1,1012,-8
514,10397,ATL,13487,MSP,1248,43,1423,29
589,13487,MSP,14747,SEA,1106,116,1256,116
744,13487,MSP,10397,ATL,1026,21,1406,32
789,14747,SEA,13487,MSP,1316,1,1832,-5
844,10397,ATL,13487,MSP,1042,-4,1220,-10
902,10397,ATL,11433,DTW,1455,-1,1650,-5
976,10397,ATL,12478,JFK,1008,8,1208,-5
1473,14747,SEA,12478,JFK,1106,-4,1935,5
1542,14747,SEA,12478,JFK,,,,
1650,11433,DTW,13487,MSP,704,-1,806,-18
1770,14747,SEA,13487,MSP,1530,0,2035,-13
1795,10397,ATL,12478,JFK,,,,
1852,10397,ATL,14747,SEA,1135,22,1339,-12
1991,13487,MSP,10397,ATL,523,-2,907,10
2074,10397,ATL,13487,MSP,1755,1,1921,-22
1290,10397,ATL,11433,DTW,2206,-4,2351,-14
1419,14747,SEA,13487,MSP,646,1,1158,-6
1542,14747,SEA,12478,JFK,2300,-5,712,-11
1651,11433,DTW,14747,SEA,2020,12,2223,2
1768,14747,SEA,13487,MSP,813,-2,1327,-10
1815,13487,MSP,10397,ATL,1309,244,1657,263
2312,13487,MSP,12478,JFK,,,,
2382,10397,ATL,13487,MSP,1915,0,2053,-15
2424,14747,SEA,11433,DTW,1342,-6,2059,-5
2508,14747,SEA,11433,DTW,934,-6,1647,-8
2793,11433,DTW,13487,MSP,1002,1,1041,-26
2817,12478,JFK,11433,DTW,901,-8,1058,-22
8,13487,MSP,10397,ATL,1732,0,2047,-16
87,11433,DTW,13487,MSP,1741,121,1829,102
423,12478,JFK,10397,ATL,,,,
425,12478,JFK,10397,ATL,,,,
427,12478,JFK,14747,SEA,,,,
431,12478,JFK,10397,ATL,832,142,,
438,12478,JFK,10397,ATL,,,,
445,12478,JFK,10397,ATL,,,,
460,12478,JFK,14747,SEA,,,,
478,10397,ATL,12478,JFK,,,,
485,12478,JFK,14747,SEA,,,,
